stock_code,stock_name,industry_code,final_score,rank,raw_dart_score,raw_industry_score,normalized_dart_score,normalized_industry_score,normalized_financial_score,block_scores,risk_flags,stage2_individual_stock_score,stage1_sector_score
008970,KBI동양철관,철강,20.76062,1,1.0,17.0,3.76062,1.63733,0.0,{'supply_contract': 1.0},[],3.76062,17.0
117670,알파칩스,반도체,17.76062,2,1.0,14.0,3.76062,1.345891,0.0,{'supply_contract': 1.0},[],3.76062,14.0
000970,한국주철관,철강,17.110133,3,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
001080,만호제강,철강,17.110133,4,0.0,17.0,0.110133,1.63733,0.0,{'neutral': 0.0},[],0.110133,17.0
001230,동국홀딩스,철강,17.110133,5,0.0,17.0,0.110133,1.63733,0.0,{'neutral': 0.0},[],0.110133,17.0
001430,세아베스틸지주,철강,17.110133,6,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
001440,대한전선,조선,17.110133,7,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
001770,SHD,철강,17.110133,8,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
001940,KISCO홀딩스,철강,17.110133,9,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
002220,한일철강,철강,17.110133,10,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
002240,고려제강,철강,17.110133,11,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
002690,동일제강,철강,17.110133,12,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
002710,TCC스틸,철강,17.110133,13,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
003030,세아제강지주,철강,17.110133,14,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
004020,현대제철,철강,17.110133,15,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
004380,삼익THK,조선,17.110133,16,0.0,17.0,0.110133,1.63733,0.0,{'neutral': 0.0},[],0.110133,17.0
004560,현대비앤지스틸,철강,17.110133,17,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
004890,동일산업,철강,17.110133,18,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
005010,휴스틸,철강,17.110133,19,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
005160,동국산업,철강,17.110133,20,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
005490,POSCO홀딩스,철강,17.110133,21,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
006260,LS,조선,17.110133,22,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
006910,보성파워텍,조선,17.110133,23,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
007280,한국특강,철강,17.110133,24,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
008260,NI스틸,철강,17.110133,25,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
008420,문배철강,철강,17.110133,26,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
009160,SIMPAC,철강,17.110133,27,0.0,17.0,0.110133,1.63733,0.0,{'neutral': 0.0},[],0.110133,17.0
009520,포스코엠텍,철강,17.110133,28,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
009540,HD한국조선해양,조선,17.110133,29,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
009730,이렘,철강,17.110133,30,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
010120,LS ELECTRIC,조선,17.110133,31,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
010140,삼성중공업,조선,17.110133,32,0.0,17.0,0.110133,1.63733,0.0,{'neutral': 0.0},[],0.110133,17.0
012160,영흥,철강,17.110133,33,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
012620,원일특강,철강,17.110133,34,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
013030,하이록코리아,철강,17.110133,35,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
014280,금강공업,철강,17.110133,36,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
014620,성광벤드,철강,17.110133,37,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
016380,KG스틸,철강,17.110133,38,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
017480,삼현철강,철강,17.110133,39,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
017800,현대엘리베이터,조선,17.110133,40,0.0,17.0,0.110133,1.63733,0.0,{'neutral': 0.0},[],0.110133,17.0
021040,대호특수강,철강,17.110133,41,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
023160,태광,철강,17.110133,42,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
023440,제이스코홀딩스,철강,17.110133,43,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
023790,동일스틸럭스,철강,17.110133,44,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
024090,디씨엠,철강,17.110133,45,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
025540,한국단자,조선,17.110133,46,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
025550,한국선재,철강,17.110133,47,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
026910,광진실업,철강,17.110133,48,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
026940,부국철강,철강,17.110133,49,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
034020,두산에너빌리티,조선,17.110133,50,0.0,17.0,0.110133,1.63733,0.0,{},[],0.110133,17.0
