stock_code,stock_name,industry_code,final_score,rank,raw_dart_score,raw_industry_score,normalized_dart_score,normalized_industry_score,normalized_financial_score,block_scores,risk_flags,stage2_individual_stock_score,stage1_sector_score
028050,삼성E&A,건설-건자재,27.508712,1,2.0,17.0,10.508712,1.255755,0.0,{'supply_contract': 2.0},[],10.508712,17.0
200710,에이디테크놀로지,반도체,25.275064,2,1.0,20.0,5.275064,1.544182,0.0,{'supply_contract': 1.0},[],5.275064,20.0
241770,메카로,반도체,24.228334,3,0.8,20.0,4.228334,1.544182,0.0,{'treasury_stock': 0.8},[],4.228334,20.0
006360,GS건설,건설-건자재,22.275064,4,1.0,17.0,5.275064,1.255755,0.0,{'supply_contract': 1.0},[],5.275064,17.0
051600,한전KPS,건설-건자재,22.275064,5,1.0,17.0,5.275064,1.255755,0.0,{'supply_contract': 1.0},[],5.275064,17.0
375500,DL이앤씨,건설-건자재,22.275064,6,1.0,17.0,5.275064,1.255755,0.0,{'supply_contract': 1.0},[],5.275064,17.0
389260,대명에너지,건설-건자재,22.275064,7,1.0,17.0,5.275064,1.255755,0.0,{'supply_contract': 1.0},[],5.275064,17.0
049080,기가레인,it하드웨어-디스플레이-전자부품,21.508712,8,2.0,11.0,10.508712,0.678901,0.0,{'supply_contract': 2.0},[],10.508712,11.0
001440,대한전선,조선,21.275064,9,1.0,16.0,5.275064,1.159612,0.0,{'supply_contract': 1.0},[],5.275064,16.0
009540,HD한국조선해양,조선,21.275064,10,1.0,16.0,5.275064,1.159612,0.0,{'supply_contract': 1.0},[],5.275064,16.0
329180,HD현대중공업,조선,21.275064,11,1.0,16.0,5.275064,1.159612,0.0,{'supply_contract': 1.0},[],5.275064,16.0
000660,SK하이닉스,반도체,20.041416,12,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
000990,DB하이텍,반도체,20.041416,13,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
005740,크라운해태홀딩스,반도체,20.041416,14,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
005930,삼성전자,반도체,20.041416,15,0.0,20.0,0.041416,1.544182,0.0,{'neutral': 0.0},[],0.041416,20.0
008060,대덕,반도체,20.041416,16,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
011690,와이투솔루션,반도체,20.041416,17,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
011930,신성이엔지,반도체,20.041416,18,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
017900,광전자,반도체,20.041416,19,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
020760,일진디스플,반도체,20.041416,20,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
029460,케이씨,반도체,20.041416,21,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
031330,에스에이엠티,반도체,20.041416,22,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
031980,피에스케이홀딩스,반도체,20.041416,23,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
032580,피델릭스,반도체,20.041416,24,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
033170,시그네틱스,반도체,20.041416,25,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
033640,네패스,반도체,20.041416,26,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
036170,에이치엠넥스,반도체,20.041416,27,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
036200,유니셈,반도체,20.041416,28,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
036540,SFA반도체,반도체,20.041416,29,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
036710,심텍홀딩스,반도체,20.041416,30,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
036930,주성엔지니어링,반도체,20.041416,31,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
037350,성도이엔지,반도체,20.041416,32,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
038060,루멘스,반도체,20.041416,33,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
039030,이오테크닉스,반도체,20.041416,34,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
041520,이엘씨,반도체,20.041416,35,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
042700,한미반도체,반도체,20.041416,36,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
043590,웰킵스하이텍,반도체,20.041416,37,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
045100,한양이엔지,반도체,20.041416,38,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
045970,코아시아,반도체,20.041416,39,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
046890,서울반도체,반도체,20.041416,40,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
046970,우리로,반도체,20.041416,41,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
052860,아이앤씨,반도체,20.041416,42,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
052900,KX하이텍,반도체,20.041416,43,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
054450,텔레칩스,반도체,20.041416,44,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
054620,APS,반도체,20.041416,45,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
059090,미코,반도체,20.041416,46,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
059120,아진엑스텍,반도체,20.041416,47,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
060310,3S,반도체,20.041416,48,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
061970,LB세미콘,반도체,20.041416,49,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
064290,인텍플러스,반도체,20.041416,50,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
064520,테크엘,반도체,20.041416,51,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
064760,티씨케이,반도체,20.041416,52,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
066310,큐에스아이,반도체,20.041416,53,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
067310,하나마이크론,반도체,20.041416,54,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
074600,원익QnC,반도체,20.041416,55,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
077360,덕산하이메탈,반도체,20.041416,56,0.0,20.0,0.041416,1.544182,0.0,{'neutral': 0.0},[],0.041416,20.0
077500,유니퀘스트,반도체,20.041416,57,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
078350,한양디지텍,반도체,20.041416,58,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
080220,제주반도체,반도체,20.041416,59,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
080520,오디텍,반도체,20.041416,60,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
082270,젬백스,반도체,20.041416,61,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
083310,엘오티베큠,반도체,20.041416,62,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
084370,유진테크,반도체,20.041416,63,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
086390,유니테스트,반도체,20.041416,64,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
088280,쏘닉스,반도체,20.041416,65,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
089030,테크윙,반도체,20.041416,66,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
089790,제이티,반도체,20.041416,67,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
089890,코세스,반도체,20.041416,68,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
092070,디엔에프,반도체,20.041416,69,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
092190,서울바이오시스,반도체,20.041416,70,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
092220,KEC,반도체,20.041416,71,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
092600,앤씨앤,반도체,20.041416,72,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
092870,엑시콘,반도체,20.041416,73,0.0,20.0,0.041416,1.544182,0.0,{},[],0.041416,20.0
