stock_code,stock_name,industry_code,final_score,rank,raw_dart_score,raw_industry_score,normalized_dart_score,normalized_industry_score,normalized_financial_score,block_scores,risk_flags,stage2_individual_stock_score,stage1_sector_score
004960,한신공영,건설-건자재,28.752337,1,2.0,17.0,11.752337,1.255755,0.0,"{'neutral': 0.0, 'supply_contract': 2.0}",[],11.752337,17.0
028100,동아지질,건설-건자재,22.900016,2,1.0,17.0,5.900016,1.255755,0.0,{'supply_contract': 1.0},[],5.900016,17.0
042660,한화오션,조선,21.900016,3,1.0,16.0,5.900016,1.159612,0.0,{'supply_contract': 1.0},[],5.900016,16.0
068240,다원시스,조선,21.900016,4,1.0,16.0,5.900016,1.159612,0.0,{'supply_contract': 1.0},[],5.900016,16.0
002200,한국수출포장,건설-건자재,21.729551,5,0.8,17.0,4.729551,1.255755,0.0,"{'neutral': 0.0, 'treasury_stock': 0.8}",[],4.729551,17.0
000660,SK하이닉스,반도체,20.047694,6,0.0,20.0,0.047694,1.544182,0.0,{'neutral': 0.0},[],0.047694,20.0
000990,DB하이텍,반도체,20.047694,7,0.0,20.0,0.047694,1.544182,0.0,{'neutral': 0.0},[],0.047694,20.0
005740,크라운해태홀딩스,반도체,20.047694,8,0.0,20.0,0.047694,1.544182,0.0,{},[],0.047694,20.0
005930,삼성전자,반도체,20.047694,9,0.0,20.0,0.047694,1.544182,0.0,{},[],0.047694,20.0
008060,대덕,반도체,20.047694,10,0.0,20.0,0.047694,1.544182,0.0,{},[],0.047694,20.0
011690,와이투솔루션,반도체,20.047694,11,0.0,20.0,0.047694,1.544182,0.0,{},[],0.047694,20.0
011930,신성이엔지,반도체,20.047694,12,0.0,20.0,0.047694,1.544182,0.0,{},[],0.047694,20.0
017900,광전자,반도체,20.047694,13,0.0,20.0,0.047694,1.544182,0.0,{},[],0.047694,20.0
020760,일진디스플,반도체,20.047694,14,0.0,20.0,0.047694,1.544182,0.0,{},[],0.047694,20.0
029460,케이씨,반도체,20.047694,15,0.0,20.0,0.047694,1.544182,0.0,{},[],0.047694,20.0
031330,에스에이엠티,반도체,20.047694,16,0.0,20.0,0.047694,1.544182,0.0,{},[],0.047694,20.0
031980,피에스케이홀딩스,반도체,20.047694,17,0.0,20.0,0.047694,1.544182,0.0,{},[],0.047694,20.0
